Material,Material Type,Description,Base UOM,Material Group
140006283,ZSTO,CHEMICAL MOLYBDATE 3 REAGENT,L,14
140006284,ZSTO,CHEMICAL KCL SOLUTION,ML,14
140006285,ZSTO,"CHEMICAL SODIUM STANDARD SOL. 100MG/L NACL AS NA,",L,14
140006286,ZSTO,CHEMICAL SODIUM STANDARD SOL. 10MG/L NACL AS NA,L,14
140006287,ZSTO,CHEMICAL DIISOPROPYLAMINE 99%,L,14
140006288,ZSTO,CHEMICAL SODIUM NITRATE 0.5M,ML,14
140006289,ZSTO,"CHEMICAL HI TEMP CITRIC ACID SOLVENT FOR HI TEMP CITRIC ACID,",BOT,14
140006290,ZSTO,CHEMICAL HI TEMP CITRIC ACID SURFACTANT FOR HI TEMP CITRIC ACID,BOT,14
140006291,ZSTO,FLEXIBLE JAW COUPLING SET MAX.BORE=65MM RATED TORQUE=265NM KW=2.8 AT100RPM,NO,14
140006292,ZSTO,FLEXIBLE JAW COUPLING SET MAX. BORE=60MM RATED TORQUE=190NM KW 2AT100RPM SPACER L=140MM,NO,14
140006293,ZSTO,FLEXIBLE JAW COUPLING SET MAX. BORE=60MM RATED TORQUE=190NM KW 2AT100 RPM,NO,14
140006294,ZSTO,"FLEXIBLE JAW COUPLING SET MAX. BORE=48MM RATED TORQUE=141NM KW=1.5,AT100RPM SPACER100MM",NO,14
140006295,ZSTO,FLEXIBLE JAW COUPLING SET MAX BORE=38MM RATED TORQUE=46.4NM KW=.5 AT 100RPM,NO,14
140006296,ZSTO,BEARING 32312 TAPER ROLLER,NO,14
140006297,ZSTO,BEARING CONE 9380 CUP 9321,NO,14
140006298,ZSTO,ECG PAPER ROLL BUNDLE 100 SHEETS PER BUNDL,NO,14
140006299,ZSTO,ELECTRODE CONDUCTIVE GEL 5LTS,NO,14
140006300,ZSTO,V-BELT BX 48,IN,14
140006301,ZSTO,V-BELT XPA 1557,MM,14
140006302,ZSTO,1 INCH MAGNET FOR MAGENETIC STIRRER,NO,14
140006303,ZSTO,0.5 INCH MAGNET FOR MAGENETIC STIRRER,NO,14
140006304,ZSTO,"REFLUX CONDENSER WITH B 24 JOINT, (ID-1CM)",NO,14
140006305,ZSTO,HELIDECK NET 40'X 40' MADE OF MANILA ROPE,NO,14
140006306,ZSTO,HELIDECK NET 30'X30' MADE OF MANILA ROPE,NO,14
140006307,ZSTO,"CHEMICAL TRANSFER PUMP SIZE 1""X1""/1 HPSINGLE PHASE / MOC POLY PROPYLENE.",NO,14
140006308,ZSTO,"V-BELT BELT ,V RIBBED 6 CTA,8.3 G",CM,14
140006309,ZSTO,V-BELT BX 92,IN,14
140006310,ZSTO,"CHIKSAN SWIVEL LOOP 2"" SIZE 8'LENGTH 10000 PSI",NO,14
140006311,ZSTO,"CHIKSAN SWIVEL LOOP 2"" SIZE 8' LENGTH 15000 PSI",NO,14
140006312,ZSTO,"CHIKSAN SWIVEL LOOP 3"" SIZE 8' LENGTH 10000 PSI",NO,14
140006313,ZSTO,"CHIKSAN SWIVEL LOOP 3"" SIZE 8' LENGTH 15000 PSI",NO,14
140006314,ZSTO,PLATE 600MM X600MM X6MM COPPER FOR NEUTRAL EARTHING,NO,14
140006315,ZSTO,V-BELT XPA 1600,MM,14
140006316,ZSTO,"HOSE 4"" ID 50 FEET LONG FOR SYNTHETIC OIL BASED MUD END CONNECTION HAMMER UNION",NO,14
140006317,ZSTO,BELT V-BELT SPB 6070,NO,14
140006318,ZSTO,BELT V-BELT SPC 6815,NO,14
140006319,ZSTO,BELT V-BELT SPC 6863,NO,14
140006320,ZSTO,BELT V-BELT SPC 5390,NO,14
140006321,ZSTO,BEARING 3320201 Q TAPPER ROLLER,NO,14
140006322,ZSTO,BEARING 33206 J TAPPER ROLLER,NO,14
140006323,ZSTO,BEARING ANK 4060 / LS 4060 / NEEDLE THRUST BEARIN,NO,14
140006324,ZSTO,FILTER ASSEMBLY 465 MM CS TUBESHEETS SS-316 TIE RODS SS-316 TIE RODS,NO,14
140006325,ZSTO,"FILTER ASSEMBLY 16""CS TUBE SHEETS SS-316 TIE RODS SS-316 TIE RODS",NO,14
140006326,ZSTO,"FILTER ASSEMBLY 8"" CS TUBE SHEETS SS-316 TIE RODS",NO,14
140006327,ZSTO,FILTER ASSEMBLY 450 MM CS TUBE SHEET SS-316 TIE RODS,NO,14
140006328,ZSTO,BEARING 33017 TAPER ROLLER (85 X 130 X29,NO,14
140006329,ZSTO,BEARING CD 134 CYLINDRICAL ROLLER (170X 265 X 42),NO,14
140006330,ZSTO,REV DUST PN-191-10,LB,14
140006331,ZSTO,WIRELINE BRIDGE PLUG REDRESS KIT BST FIRING HEAD #20 P/N 2327994,KIT,14
140006332,ZSTO,PATILA STEEL BIG 25 LTRS APPROX,NO,14
140006333,ZSTO,"WIRE ROPE 5/8""DIA 35X7 CONST. GALVANISED, CORE WSC, LAY RHLL",M,14
140006334,ZSTO,"WIRE ROPE 3/4""DIA 35X7 CONST. GALVANISED, CORE WSC, LAY RHLL",M,14
140006335,ZSTO,TYRE FOR F-85 COUPLING RUBBER,NO,14
140006336,ZSTO,FIRE EXTINGUISHER STAND,NO,14
140006337,ZSTO,"ELECTRONIC DRAIN VALVE SUPPLY 110V AC/DC 1/2""NPTF X 1/2""NPTF ORIFICE 12.5MM",NO,14
140006338,ZSTO,"HOSE 1/4"" SAE 100 R1 ENDFITTING 7/16"" SS304 HOSE 1/4"" SAE 100 R1, 7/16"" E/F",NO,14
140006339,ZSTO,BEARING 7221 BC3,NO,14
140006340,ZSTO,V-BELT SPA 2240 SPA,NO,14
140006341,ZSTO,V-BELT SPA 1850 SPA,NO,14
140006342,ZSTO,V-BELT SPA 1900,NO,14
140006343,ZSTO,V-BELT SPZ 2240,NO,14
140006344,ZSTO,V-BELT SPZ 1520,NO,14
140006345,ZSTO,V-BELT SPZ 1560,NO,14
140006346,ZSTO,V-BELT B 30,NO,14
140006347,ZSTO,CHEMICAL 1-PROPANOL,KG,14
140006348,ZSTO,V-BELT A 26,NO,14
140006349,ZSTO,V-BELT B 26,NO,14
140006350,ZSTO,V-BELT PB 48,NO,14
140006351,ZSTO,V-BELT 3L 220,NO,14
140006352,ZSTO,V-BELT 5V 2240,NO,14
140006353,ZSTO,H2S DETECTOR TUBE 2 TO 20 PPM MEASUREMENT RANGE OF DETECTOR TUBE IS 2 TO 20 PPM.,NO,14
140006354,ZSTO,BOLT WITH NUT 20MMX85MM 316 STAINLESS STEEL,NO,14
140006355,ZSTO,BEARING AXK 160200 WITH TWO WASHERS GS81132,ST,14
140006356,ZSTO,KEY ETG 3-4,NO,14
140006357,ZSTO,KEY ETG 5-7,NO,14
140006358,ZSTO,SHIM SCREW 5513 020-07,NO,14
140006359,ZSTO,BRAZED TIP BRAZED TIP-C20 S4,NO,14
140006360,ZSTO,FILTER 0.2 MICRON 15MM REGENERATED CELLULOSE,NO,14
140006361,ZSTO,"FOAM PIG 42"" DIA HIGH DENSITY 9-10 LBS/CUBIC FEET",NO,14
140006362,ZSTO,"FOAM PIG 42"" DIA MEDIUM DENSITY 5-8 LBS/CUBIC FT",NO,14
140006363,ZSTO,"FOAM PIG 42"" DIA LOW DENSITY 1-2 LBS/CUBIC FT",NO,14
140006364,ZSTO,OIL SEAL GARLOCK 53X4502,NO,14
140006365,ZSTO,OIL SEAL GARLOCK 53X3184,NO,14
140006366,ZSTO,QUARTZ TORCH(2X00/7X00DV),NO,14
140006367,ZSTO,QUARTZ INJECTOR(1.2MM),NO,14
140006368,ZSTO,END CAP - RING THICK,NO,14
140006369,ZSTO,"VOLUME BOOSTER SIGNAL PORT 1/4""NPTF INLETOUTLET 1/4""NPTF HOUSING SS316",NO,14
140006370,ZSTO,"VOLUME BOOSTER SIGNAL PORT 1/4""NPTF INLETOUTLET 1/2""NPTF HOUSING SS316",NO,14
140006371,ZSTO,SR.GLUCOSE REAGENT,PAK,14
140006372,ZSTO,UREA REAGENT PACK,ML,14
140006373,ZSTO,CREATININE REAGENT,PAK,14
140006374,ZSTO,CHOLESTEROL REAGENT PACK,ML,14
140006375,ZSTO,HDL CHOLESTEROL REAGENT,PAK,14
140006376,ZSTO,DIRECT LDL CHOLESTEROL REAGENT,PAK,14
140006377,ZSTO,DIRECT HDL CHOLESTEROL REAGENT,PAK,14
140006378,ZSTO,TRIGLYCERIDES REAGENT PACK,ML,14
140006379,ZSTO,LDH REAGENT PACK,ML,14
140006380,ZSTO,BILIRUBIN TOTAL + DIRECT REAGENT PACK,ML,14
140006381,ZSTO,BILIRUBIN TOTAL / DIRECT REAGENT PACK,ML,14
140006382,ZSTO,TOTAL PROTEIN REAGENT PACK,ML,14
140006383,ZSTO,ALBUMIN REAGENT,PAK,14
140006384,ZSTO,S G O T/AST REAGENT PACK,ML,14
140006385,ZSTO,S G P T/ALT REAGENT PACK,ML,14
140006386,ZSTO,ALKALINE PHOSPHATASE/ALP REAGENT PACK,ML,14
140006387,ZSTO,ACID PHOSPATASE REAGENT,PAK,14
140006388,ZSTO,CK-MB REAGENT PACK,ML,14
140006389,ZSTO,CK-NAC REAGENT PACK,ML,14
140006390,ZSTO,CALCIUM REAGENT,PAK,14
140006391,ZSTO,INORGANIC PHOSPHORUS REAGENT,PAK,14
140006392,ZSTO,URIC ACID REAGENT PACK,ML,14
140006393,ZSTO,LIPASE REAGENT PACK,ML,14
140006394,ZSTO,AMYLASE REAGENT PACK,ML,14
140006395,ZSTO,ALPHA AMYLASE REAGENT,PAK,14
140006396,ZSTO,"SOLUTION PACK NA, K FOR GEMLYTE",NO,14
140006397,ZSTO,"SOLUTION PACK NA, K EASYLYTE",NO,14
140006398,ZSTO,"SOLUTION PACK NA,K ISE AUTOMATED",NO,14
140006399,ZSTO,HBA1C NAYCO CARD,PAK,14
140006400,ZSTO,HBA1C CASSET,PAK,14
140006401,ZSTO,GAMMA GT / GGT REAGENT PACK,ML,14
140006402,ZSTO,B U N REAGENT,PAK,14
140006403,ZSTO,URINARY PROTEINS REAGENT,PAK,14
140006404,ZSTO,C S F PROTEINS REAGENT,PAK,14
140006405,ZSTO,TOTAL IRON REAGENT PACK,ML,14
140006406,ZSTO,T I B C REAGENT,PAK,14
140006407,ZSTO,CHLORIDE REAGENT,PAK,14
140006408,ZSTO,A S O REAGENT PACK,PAK,14
140006409,ZSTO,C R P REAGENT PACK,PAK,14
140006410,ZSTO,S L E / A N A REAGENT PACK,PAK,14
140006411,ZSTO,R A / REUMATOID FACTOR REAGENT PACK,PAK,14
140006412,ZSTO,ANTI A GROUPING SERA 10ML,NO,14
140006413,ZSTO,ANTI B GROUPING SERA 10 ML,NO,14
140006414,ZSTO,ANTI D GROUPING SERA 10 ML,NO,14
140006415,ZSTO,ANTI A+B+D GROUPING SERA 3 X 10ML,NO,14
140006416,ZSTO,COOMBS/AHG GROUPING SERA,NO,14
140006417,ZSTO,BOVINE ALBUMIN GROUPING SERA,NO,14
140006418,ZSTO,TYDAL ANTIGEN SET,PAK,14
140006419,ZSTO,WIDAL ANTIGEN SET,PAK,14
140006420,ZSTO,SALMONELL ANTIGEN SET,PAK,14
140006421,ZSTO,LIQIPLASTIN PT REAGENT,PAK,14
140006422,ZSTO,UNIPLAST PT REAGENT,PAK,14
140006423,ZSTO,THROMBOPLASTIN PT REAGENT,PAK,14
140006424,ZSTO,CALCIUM CHLORIDE SOLUTION APTT REAGENT,NO,14
140006425,ZSTO,PLASMATROL PT CONTROLE I,PAK,14
140006426,ZSTO,PLASMATROL PT CONTROLE II,PAK,14
140006427,ZSTO,H I V CARD,PAK,14
140006428,ZSTO,H I V I & II CARD,PAK,14
140006429,ZSTO,H C V CARD,PAK,14
140006430,ZSTO,HBSAG CARD,PAK,14
140006431,ZSTO,VDRL CARD,PAK,14
140006432,ZSTO,SYPHILIS CARD,PAK,14
140006433,ZSTO,TROPONINE -T CARD,PAK,14
140006434,ZSTO,TROPONINE - I CARD,PAK,14
140006435,ZSTO,RAPI SWAB SKIN APPLICATIN,PAK,14
140006436,ZSTO,MICROPROTEINS URINE / CSF,PAK,14
140006437,ZSTO,URINE STRIPS GLUCOSE & PROTEINS,NO,14
140006438,ZSTO,URINE STRIPS MULTY PARAMETERS,NO,14
140006439,ZSTO,GLYCOCILATED HB REAGENT,PAK,14
140006440,ZSTO,TUBERCULIN P P D MONTOUX REAGENT 5/10 TU,NO,14
140006441,ZSTO,CEEDAR WOOD OIL,NO,14
140006442,ZSTO,IMMURSSION OIL,NO,14
140006443,ZSTO,DRABKINS SOLUTION FOR HB,PAK,14
140006444,ZSTO,COMBI DISC U T I GNI,NO,14
140006445,ZSTO,COMBI DISC UTI RESISTANT,NO,14
140006446,ZSTO,COMBI DISC GP -I,NO,14
140006447,ZSTO,COMBI DISC GP-II,NO,14
140006448,ZSTO,G6PD REAGENT PACK,PAK,14
140006449,ZSTO,LIESHMAN'S STAIN REAGENT,NO,14
140006450,ZSTO,SEMEN DILUTING FLUID,PAK,14
140006451,ZSTO,DOUBLE DISTILLED WATER REAGENT GRADE,PAK,14
140006452,ZSTO,DEIONIZED WATER PACK,PAK,14
140006453,ZSTO,HARRIS HEMATOXYLIN SOLUTION,PAK,14
140006454,ZSTO,PAPANICOLOU OG6 SOLUTION,PAK,14
140006455,ZSTO,PAPANICOLOU EA-36 SOLUTION,PAK,14
140006456,ZSTO,PAPNICOLOU EA-65 SOLUTION,PAK,14
140006457,ZSTO,EOSIN 2% SOLUTION,PAK,14
140006458,ZSTO,SAFRANINE 5% SOLUTIO PACK,PAK,14
140006459,ZSTO,THROMBOTIMER BALL SET,PAK,14
140006460,ZSTO,THROMBOTIMER BALL CUVETTES DISPOSABLE,PAK,14
140006461,ZSTO,ISOFLUX REAGENT PACK,PAK,14
140006462,ZSTO,TRANSFLUX REAGENT PACK,PAK,14
140006463,ZSTO,ACTIDIFF MS-95 REAGENT PACK,PAK,14
140006464,ZSTO,HEMOREF REAGENT PACK,PAK,14
140006465,ZSTO,CLOT FILTER REAGENT,NO,14
140006466,ZSTO,EO-DIFF REAGENT PACK,PAK,14
140006467,ZSTO,CLEANING SOLUTION KIT MS-95,PAK,14
140006468,ZSTO,CONTROL MS-95 HIGH-LOW-MEDIUM,PAK,14
140006469,ZSTO,LH HORMONE REAGENT,PAK,14
140006470,ZSTO,FSH HORMONE REAGENT,PAK,14
140006471,ZSTO,PROLACTIN HORMONE REAGENT,PAK,14
140006472,ZSTO,F T3 THYROD REAGENT,PAK,14
140006473,ZSTO,F T4 THYROID REAGENT,PAK,14
140006474,ZSTO,TSH THYROID REAGENT,PAK,14
140006475,ZSTO,TOTAL PSA REAGENT PACK,PAK,14
140006476,ZSTO,25-OH VITAMIN -D TOTAL REAGENT PACK,PAK,14
140006477,ZSTO,ANTI-CCP REAGENT PACK,PAK,14
140006478,ZSTO,PREGNANCY CARD TEST,PAK,14
140006479,ZSTO,TYPHOID- IGM/IGG CARD,PAK,14
140006480,ZSTO,MALARIA ANTIGEN CARD,PAK,14
140006481,ZSTO,MALARIA ANTI DODIES CARD,PAK,14
140006482,ZSTO,CALIBERATOR FOR BIOCHEMISTRY,PAK,14
140006483,ZSTO,HUMAN CONTOL LEVEL 2 FOR BIOCHEMISTRY,PAK,14
140006484,ZSTO,HUMAN CONTROL LEVEL 3 FOR BIOCHEMISTRY,PAK,14
140006485,ZSTO,MICROALBUMIN REAGENT PACK,PAK,14
140006486,ZSTO,CONCENTRATED WASH SOL. FOR BIOSYSTEM,PAK,14
140006487,ZSTO,REACTION ROTOR FOR BIOSYSTEM,NO,14
140006488,ZSTO,SAMPLE CUP FOR BIOSYSTEM,PAK,14
140006489,ZSTO,URINE DILUENT FOR BIOSYSTEM,PAK,14
140006490,ZSTO,CLEANING SOLUTION FOR BIOSYSTEM,PAK,14
140006491,ZSTO,BI LEVEL QUALITY CONTOL KIT FOR BIOSYSTEM,PAK,14
140006492,ZSTO,TRI LEVEL CONTROL QUALITY KIT FOR BIOSYSTEM,PAK,14
140006493,ZSTO,CALIBERATOR MULTY BIOCHEMISTRY BIOSYSTEM,PAK,14
140006494,ZSTO,CONTROL SERUM L1 BIOCHEMISTRY,PAK,14
140006495,ZSTO,CONTROL SERUM L2 BIOCHEMISTRY,PAK,14
140006496,ZSTO,MACCONKY AGAR CULTURE MEDIA,PAK,14
140006497,ZSTO,NEUTRENT AGAR CULTURE MEDIA,PAK,14
140006498,ZSTO,PEPTONE WATER CULTURE MEDIA,PAK,14
140006499,ZSTO,COMBI DUAL PERFORMANCE MEDIUM,PAK,14
140006500,ZSTO,PA COLI FORM KIT,PAK,14
140006501,ZSTO,ZN ACID FAST STAIN KIT,PAK,14
140006502,ZSTO,DPX MOUNTANT FLUID,PAK,14
140006503,ZSTO,E D T A SOLUTION 5 %,NO,14
140006504,ZSTO,LIQUID PARAFFIN HEAVY,NO,14
140006505,ZSTO,PARAFFIN WAX 58-60 DIGREE,NO,14
140006506,ZSTO,STERILE CLINICOL FOR STOOL,NO,14
140006507,ZSTO,STERILE URICOL FOR URINE,NO,14
140006508,ZSTO,TRICOGEL DISPENSER 500ML,NO,14
140006509,ZSTO,ACCUSURE GLUCOSE STRIPS 2X50 STRIPS,NO,14
140006510,ZSTO,GLUCOCARD 01 SENSOR STRIPS 100 S PACK,NO,14
140006511,ZSTO,SODIUM CONDITIONER GEMLYTE,PAK,14
140006512,ZSTO,CLEANING SOLUTION GEMLYTE,PAK,14
140006513,ZSTO,TRILEVEL CONTROL GEMLYTE,PAK,14
140006514,ZSTO,PRINTER PAPER ROLL FOR GEMLYTE PACK,NO,14
140006515,ZSTO,DAILY CLEANING SOLUTION EASYLYTE,PAK,14
140006516,ZSTO,PRINTER PAPER THERMAL ROLL EASYLYTE,NO,14
140006517,ZSTO,EXTERNAL WASH EASYLYTE,PAK,14
140006518,ZSTO,DENGUE CARD,PAK,14
140006519,ZSTO,DENGUE NS-1 COMBO CARD,PAK,14
140006520,ZSTO,MALARIA ANTIGEN CARD-PV/FP,PAK,14
140006521,ZSTO,ISO-PROPYL ALCOHOL PROPAN-2-OL EXCELAR,NO,14
140006522,ZSTO,ISO-PROPYL ALCOHOL PROPAN-2-OL SQ,L,14
140006523,ZSTO,HCG CARD,PAK,14
140006524,ZSTO,RA TURBIDIMETRY KIT,PAK,14
140006525,ZSTO,CRP TURBIDIMETRY KIT,PAK,14
140006526,ZSTO,ASO TURBIDIMETRY KIT,PAK,14
140006527,ZSTO,FERRITIN REAGENT PACK,PAK,14
140006528,ZSTO,FERRITIN CALIBERATOR KIT,PAK,14
140006529,ZSTO,THROMBOSTAT REAGENT PACK,PAK,14
140006530,ZSTO,BENEDICT'S QUALITATIVE REAGENT,NO,14
140006531,ZSTO,EHRLICH'S ALDEHYDE REAGENT,PAK,14
140006532,ZSTO,FOUCHT'S REAGENT,PAK,14
140006533,ZSTO,SODIUM HYPOCLORITE 4%,L,14
140006534,ZSTO,LOUGALS IODINE,PAK,14
140006535,ZSTO,HYDROCLORIC ACID N/10,NO,14
140006536,ZSTO,HDROCLORIC ACID CONCENTRATED,NO,14
140006537,ZSTO,SULPHURIC ACID 20 %,NO,14
140006538,ZSTO,SULPHURIC ACID CONCENTRATED,NO,14
140006539,ZSTO,NITRIC ACID AR CON,L,14
140006540,ZSTO,CYANMETH-HB STANDARD,PAK,14
140006541,ZSTO,CARBOL FUCHSIN,NO,14
140006542,ZSTO,METHYLENE BLUE LOFFLER'S,ML,14
140006543,ZSTO,AMIKACIN SENSTIVITY DISC,PAK,14
140006544,ZSTO,AMOXYCILIN/CLAVULANIC ACI SENSTIVITY DISC,PAK,14
140006545,ZSTO,AZITHROMYCIN SENSTIVITY DISC,PAK,14
140006546,ZSTO,CEFACLOR SENSTIVITY DISC,PAK,14
140006547,ZSTO,CEFIXIME SENSTIVITY DISC,PAK,14
140006548,ZSTO,CEFOTAXIME SENSTIVITY DISC,PAK,14
140006549,ZSTO,CEFUROXIME SENSTIVITY DISC,PAK,14
140006550,ZSTO,CIPROFLOXACIN SENSTIVITY DISC,PAK,14
140006551,ZSTO,LINCOMYCIN SENSTIVITY DISC,PAK,14
140006552,ZSTO,LEVOFLOXACIN SENSTIVITY DISC,PAK,14
140006553,ZSTO,CLARITHROMYCIN SENSTIVITY DISC,PAK,14
140006554,ZSTO,NORFLOXACIN SENSTIVITY DISC,PAK,14
140006555,ZSTO,NITROFURADENTIN SENSTIVITY DISC,PAK,14
140006556,ZSTO,OFLOXACIN SENSTIVITY DISC,PAK,14
140006557,ZSTO,ROXITHROMYCIN SENSTIVITY DISC,PAK,14
140006558,ZSTO,TOBRAMYCIN SENSTIVITY DISC,PAK,14
140006559,ZSTO,TAZOBACTUM SENSTIVITY DISC,PAK,14
140006560,ZSTO,PIPRACILLIN SENSTIVITY DISC,PAK,14
140006561,ZSTO,TICRAMYCIN SENSTIVITY DISC,PAK,14
140006562,ZSTO,CEFAPARAZONE SENSTIVITY DISC,PAK,14
140006563,ZSTO,SALBACTUM SENSTIVITY DISC,PAK,14
140006564,ZSTO,CLINDAMYCIN SENSTIVITY DISC,PAK,14
140006565,ZSTO,NITROFURATION SENSTIVITY DISC,PAK,14
140006566,ZSTO,HI- SPARK CLEANING SOLUTION BIODEGRADABLE,L,14
140006567,ZSTO,HUMATROL-N CONTROL BIOCHEMISTRY,PAK,14
140006568,ZSTO,HUMATROL-P CONTROL BIOCHEMISTRY,PAK,14
140006569,ZSTO,HEMOSTAT THROMBOPLASTIN SI- KIT,PAK,14
140006570,ZSTO,HAEMOGLOBIN REAGENT PACK,PAK,14
140006571,ZSTO,MACCONKY AGAR DEHYDRATED DIFF,PAK,14
140006572,ZSTO,NEUTRIET AGAR MEDIA DEHYDRATED-DIFFCO,PAK,14
140006573,ZSTO,CHEMICAL PECTIN,G,14
140006574,ZSTO,CHEMICAL CHITIN,G,14
140006575,ZSTO,CHEMICAL TRIMETHYLAMINE,G,14
140006576,ZSTO,CHEMICAL SULFANILIC ACID,G,14
140006577,ZSTO,"CHAIN ROLLER 2 "" DUPLEX CHAIN ROLLER 2"" DUPLEX ROLLER CHAIN 2""PXDUPLEX X 90 LINK,ASA1",NO,14
140006578,ZSTO,"CHAIN ROLLER 2 "" DUPLEX CHAIN ROLLER 2""DUPLEX ROLLER CHAIN 2""PXDUPLEX X 86LINK,ASA160",NO,14
140006579,ZSTO,"CHAIN ROLLER 1-1/2"" QUADRAPLEX CHAIN1-1/2""QUADRAPLEX ROLLER CHAIN1-1/2""XQUADRAPLEX X16",NO,14
140006580,ZSTO,FILTER 30 MICRON SS-304; 250 MM X 1000MM,NO,14
140006581,ZSTO,FILTER 10 MICRON PP; 114 MM X 1000 MM,NO,14
140006582,ZSTO,FILTER 3 MICRON PP; 66 MM X 1000 MM,NO,14
140006583,ZSTO,FILTER 30 MICRON SS-304; 300 MM X 1000MM,NO,14
140006584,ZSTO,FILTER 30 MICRON PP; 66 MM X 30 INCH,NO,14
140006585,ZSTO,FILTER 10 MICRON PP; 64 MM X 30 INCH,NO,14
140006586,ZSTO,FILTER 2 MICRON PP; 66 MM X 30 INCH,NO,14
140006587,ZSTO,FILTER 2 MICRON PP; 66 MM X 508 MM,NO,14
140006588,ZSTO,FILTER 30 MICRON SS-304; 195 MM X 600 MM,NO,14
140006589,ZSTO,FILTER 2 MICRON PP; 63 MM X 40 INCH,NO,14
140006590,ZSTO,FILTER 30 MICRON SS-304; 150 MM X 1000MM,NO,14
140006591,ZSTO,FILTER 3 MICRON PP; 70 MM X 900 MM,NO,14
140006592,ZSTO,WIRE ROPE 0.108 IN. PIANO WIRE,M,14
140006593,ZSTO,"ASBESTOS FIBRE JOINTING SHEET 3MM THICK, 1.5MX1.5M HIGH TEMPERATURE HIGH PRESSURE",NO,14
140006594,ZSTO,"ASBESTOS FIBRE JOINTING SHEET 2MM THICK,1.5MX1.5M HIGH TEMPERATURE HIGH PRESSURE",NO,14
140006595,ZSTO,"HOSE CUTTER,SIZE 2-4"", ELECTRIC",NO,14
140006596,ZSTO,"BRAIDED HOSES 2""IDX3.5 MTR LONG FIXED FLANGE END & CS ST.PIPE END",NO,14
140006597,ZSTO,"BRAIDED HOSES 3""IDX3.5 MTR LONG FLANGEEND & CAMLOCK END CONNE.",NO,14
140006598,ZSTO,SPILL KART/TRUCK OIL USE,NO,14
140006599,ZSTO,65 GALLON SPILL KIT OIL USE.,NO,14
140006600,ZSTO,55 GALLON SPILL KIT OIL USE,NO,14
140006601,ZSTO,"SLIP ON CENTRALIZER 9 5/8"" X 12 1/4"" ONE PIECE, NO WELD NO HINGES",NO,14
140006602,ZSTO,"SLIP ON CENTRALIZER 7""x 8-1/2"" ONE PI* ECE, NO WELD NO HINGES",NO,14
140006603,ZSTO,"SLIP ON STOP COLLAR 9 5/8"" CASING ONE PIECE NO WELD NO HINGES",NO,14
140006604,ZSTO,"SLIP ON STOP COLLAR 7"" LINER / CASING ONE PIECE , NO WELD NO HINGES",NO,14
140006605,ZSTO,VOLUMETRIC FLASK 5 ML,NO,14
140006606,ZSTO,"FILTER 20 MICRON FOR AHU, SIZE 610X610X50 MM",NO,14
140006607,ZSTO,"FILTER 20 MICRON FOR AHU, SIZE 610X305X50 MM",NO,14
140006608,ZSTO,"FILTER 20 MICRON FOR AHU, SIZE 305X610X50 MM",NO,14
140006609,ZSTO,"FILTER 20 MICRON FOR AHU, SIZE 305X305X50 MM",NO,14
140006610,ZSTO,FRAC FLUID SAND CONTROL 325 DEG. F,BBL,14
140006611,ZSTO,CLEAN OUT FLUID SAND CONTROL 325 DEG. F,BBL,14
140006612,ZSTO,TROLLEY STEEL TROLLEY FOR RICOH MFP C2003SP,NO,14
140006613,ZSTO,"PERFORATION HARDWARE 3-3/8"" X 4FT, TAGBIG HOLE GUN ASSEMBLY",NO,14
140006614,ZSTO,"PERFORATION HARDWARE PIPE WRENCH 12"" ALUMINIUM HANDLE",NO,14
140006615,ZSTO,WIRELINE BRIDGE PLUG SLOW SET POWER CHARGE FOR BRIDGE PLUG,NO,14
140006616,ZSTO,WIRELINE BRIDGE PLUG IGNITOR FOR BRIDGE PLUG SETTING TOOL,NO,14
140006617,ZSTO,BEARING N 226 C3 CYLINDRICAL ROLLER,NO,14
140006618,ZSTO,BEARING 0-1259-B W33 CYLINDRICAL ROLLER,NO,14
140006619,ZSTO,BEARING 0-1323-B W33 CYLINDRICAL ROLLER,NO,14
140006620,ZSTO,BEARING 22220C3MBK W33/AH320 SPHERICALROLLER,NO,14
140006621,ZSTO,BEARING 23256 C3 W33 SPHERICAL ROLLER,NO,14
140006622,ZSTO,GLOW SIGN BOARD ACRYLIC 8FT X 2FT,NO,14
140006623,ZSTO,WHITE BOARD MARKER 4FTX 3FT,NO,14
140006624,ZSTO,PHOTO BOARD MOUNT WOODEN FRAME 2.5FTX 2FT,NO,14
140006625,ZSTO,PAINT MID BUFF YELLOW,L,14
140006626,ZSTO,PERFORATION HARDWARE COMPLETE KIT ASSYFOR #20 BAKER FIRING HEAD TO GO QC,NO,14
140006627,ZSTO,"FILTER 30 MICRON SS-304; 66 MM X 28 MMX 30""",NO,14
140006628,ZSTO,"FILTER 5 MICRON WATER L 20"" PP; OD 4"",ID 1.3"", L 20""",NO,14
140006629,ZSTO,FILTER 3 MICRON SS-304; 63 MM OD X 28 MM ID X 500 MM,NO,14
140006630,ZSTO,"3/16""JIC37DG MALE*1/4""NPT MALE ST ADAPTOR FOR 3/16"" JIC HOSE FITT",NO,14
140006631,ZSTO,IMPACT RESISTANT HAND GLO CORE PPE K&LITEM IMPACT RESISTANT HAND GLOVES FOR DRILLING,NO,14
140006632,ZSTO,ELECTRODE WELDING CAST IRON NON-MACHINABLE(4 MM DIA),NO,14
140006633,ZSTO,"S.S.DRUM 9""X9"" STAINLESS STEEL",NO,14
